6,25
3,35
11,60
8,55
28,60
28,40
11,50
6,20
3,45
22,50
3,50
6,50
14,55
36,75
22,65
25,75
83,70
11,60
3,25
22,55
39,60
11,65
6,60
31,50
28,60
3,55
3,70
19,60
8,80
44,50
14,30
44,50
28,45
50,50
53,20
3,60
19,60
33,80
3,40
6,55
11,25
39,55
19,60
33,60
11,50
3,55
19,60
25,80
58,60
44,60
6,10
50,70
3,75
3,60
28,30
22,55
58,60
33,60
25,90
22,40
56,80
8,75
6,75
3,95
8,95
56,50
11,90
64,80
3,60
6,15
64,40
25,60
11,50
17,50
3,50
72,90
6,60
11,55
3,60
25,40
67,60
11,55
36,30
44,60
19,60
47,80
6,35
25,70
61,60
31,75
75,60
47,70
58,60
25,60
36,60
6,20
3,60
42,60
11,65
